Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
75.63194444,28.19194444,34541,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,34542,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,34543,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,34553,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,34554,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,34555,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,34562,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,34573,2020-06-30,1,-1,-1,-1,-1
37.42416667,3.122222222,34574,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,34575,2020-06-30,1,-1,-1,-1,-1
37.42277778,3.129444444,34583,2020-06-30,1,-1,-1,-1,-1
37.41333333,3.124444444,34609,2020-06-30,1,-1,-1,-1,-1
37.41694444,3.121111111,34610,2020-06-30,1,-1,-1,-1,-1
35.04444444,2.612222222,34611,2020-06-30,1,-1,-1,-1,-1
36.90694444,2.245555556,34612,2020-06-30,1,-1,-1,-1,-1
35.04527778,2.610833333,34620,2020-06-30,1,-1,-1,-1,-1
35.045,2.609166667,34621,2020-06-30,1,-1,-1,-1,-1
35.0375,2.606666667,34622,2020-06-30,1,-1,-1,-1,-1
35.03777778,2.606944444,34623,2020-06-30,1,-1,-1,-1,-1
37.41666667,3.121388889,34624,2020-06-30,1,-1,-1,-1,-1
36.72166667,2.751666667,34630,2020-06-30,1,-1,-1,-1,-1
34.7,2.716666667,34642,2020-06-30,1,-1,-1,-1,-1
73.53027778,27.18388889,34643,2020-06-30,1,-1,-1,-1,-1
73.57777778,27.26027778,34645,2020-06-30,1,-1,-1,-1,-1
35.0375,2.598055556,34654,2020-06-30,1,-1,-1,-1,-1
35.04388889,2.601944444,34655,2020-06-30,1,-1,-1,-1,-1
35.04416667,2.601388889,34656,2020-06-30,1,-1,-1,-1,-1
35.0425,2.600833333,34657,2020-06-30,1,-1,-1,-1,-1
35.0425,2.601111111,34658,2020-06-30,1,-1,-1,-1,-1
69.00722222,27.48027778,34669,2020-06-30,1,-1,-1,-1,-1
45.5325,9.534166667,34708,2020-06-30,1,-1,-1,-1,-1
45.53222222,9.533888889,34709,2020-06-30,1,-1,-1,-1,-1
44.07388889,9.503333333,34710,2020-06-30,1,-1,-1,-1,-1
45.46694444,9.577222222,34711,2020-06-30,1,-1,-1,-1,-1
45.46638889,9.576111111,34712,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,34741,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.141666667,34742,2020-06-30,1,-1,-1,-1,-1
37.42583333,3.142777778,34743,2020-06-30,1,-1,-1,-1,-1
37.42333333,3.142222222,34744,2020-06-30,1,-1,-1,-1,-1
36.81416667,3.155277778,34745,2020-06-30,1,-1,-1,-1,-1
75.63194444,28.19194444,34749,2020-06-30,1,-1,-1,-1,-1
74.685,28.36722222,34750,2020-06-30,1,-1,-1,-1,-1
71.23222222,27.70611111,34751,2020-06-30,1,-1,-1,-1,-1
36.81388889,3.155277778,34761,2020-06-30,1,-1,-1,-1,-1
35.20277778,2.856944444,34762,2020-06-30,1,-1,-1,-1,-1
35.03444444,2.601666667,34763,2020-06-30,1,-1,-1,-1,-1
36.70833333,2.851388889,34770,2020-06-30,1,-1,-1,-1,-1
